Feature pair	GAM_random1	GAM_random2	GAM_random3	Hi-C_random1	Hi-C_random2	Hi-C_random3
Enhancer / Enhancer	29741	29402	29501	26467	26609	26677
H3K27me3 / Enhancer	21328	21035	20731	18899	18821	18882
H3K27me3 / H3K27me3	4601	4661	4582	3970	4004	4007
H3K9me3 / Enhancer	22827	22755	22600	20619	20332	20559
H3K9me3 / H3K27me3	8465	8519	8505	7378	7387	7427
H3K9me3 / H3K9me3	6726	6671	6643	5684	5635	5625
Med12 / Enhancer	11347	11435	11581	10267	10445	10364
Med12 / H3K27me3	4607	4722	4658	4121	4238	4236
Med12 / H3K9me3	5616	5571	5568	4981	4934	4960
Med12 / Med12	1355	1420	1418	1228	1311	1299
Oct4 / Enhancer	31750	31620	31599	28545	28460	28664
Oct4 / H3K27me3	14159	14267	13939	12675	12699	12832
Oct4 / H3K9me3	17222	17265	17142	15482	15356	15404
Oct4 / Med12	7653	7745	7727	7027	7057	7096
Oct4 / Oct4	13185	13296	13226	11905	11931	12148
RNAPII-S2p / Enhancer	34601	34377	34433	30803	31022	31053
RNAPII-S2p / H3K27me3	15604	15577	15516	13854	14028	14103
RNAPII-S2p / H3K9me3	16642	16417	16687	14792	14932	15054
RNAPII-S2p / Med12	8200	8294	8359	7318	7595	7623
RNAPII-S2p / Oct4	24593	24362	24613	21980	22075	22247
RNAPII-S2p / RNAPII-S2p	15558	15396	15391	13705	13867	13865
RNAPII-S5p / Enhancer	54034	53888	54078	48278	48576	48760
RNAPII-S5p / H3K27me3	24313	24116	23961	21419	21466	21700
RNAPII-S5p / H3K9me3	29469	29121	29234	25755	25656	25699
RNAPII-S5p / Med12	14026	14208	14181	12666	12749	12987
RNAPII-S5p / Oct4	41510	41379	41503	37247	37112	37443
RNAPII-S5p / RNAPII-S2p	36940	36782	37124	33120	33208	33397
RNAPII-S5p / RNAPII-S5p	42643	42389	42535	37929	37654	37982
RNAPII-S7p / Enhancer	48007	47989	47996	42874	43260	43403
RNAPII-S7p / H3K27me3	22400	22431	22075	19822	19928	20166
RNAPII-S7p / H3K9me3	25859	25708	25733	22903	22885	23157
RNAPII-S7p / Med12	12284	12475	12462	11131	11226	11325
RNAPII-S7p / Oct4	36429	36436	36587	32768	32880	32963
RNAPII-S7p / RNAPII-S2p	30742	30568	30686	27384	27604	27713
RNAPII-S7p / RNAPII-S5p	49490	49380	49554	44068	44004	44177
RNAPII-S7p / RNAPII-S7p	33171	33159	33176	29499	29646	29762
Sox2 / Enhancer	23168	22980	23003	20722	20743	20892
Sox2 / H3K27me3	9954	10161	9918	9094	8905	8991
Sox2 / H3K9me3	12344	12541	12377	11143	11033	11067
Sox2 / Med12	5551	5535	5514	5035	5019	4968
Sox2 / Oct4	14440	14445	14464	13100	13104	13223
Sox2 / RNAPII-S2p	17600	17606	17626	15807	15860	15994
Sox2 / RNAPII-S5p	30232	30213	30398	27252	27031	27359
Sox2 / RNAPII-S7p	26454	26554	26457	23845	23851	23955
Sox2 / Sox2	6655	6837	6701	6169	6158	6176
Tcf3 / Enhancer	9799	9818	9753	8810	8887	8964
Tcf3 / H3K27me3	3873	4037	3872	3498	3585	3538
Tcf3 / H3K9me3	4781	4789	4816	4305	4418	4308
Tcf3 / Med12	2174	2177	2175	1986	2041	2018
Tcf3 / Oct4	6518	6550	6561	5855	5984	5979
Tcf3 / RNAPII-S2p	7037	7088	7155	6306	6513	6560
Tcf3 / RNAPII-S5p	12255	12298	12349	11001	11243	11190
Tcf3 / RNAPII-S7p	10767	10831	10845	9621	9901	9833
Tcf3 / Sox2	4691	4722	4609	4221	4274	4252
Tcf3 / Tcf3	1018	1043	1026	984	933	970
H4K20me3 / Enhancer	18406	18423	18409	16653	16737	16816
H4K20me3 / H3K27me3	7313	7404	7360	6658	6541	6611
H4K20me3 / H3K9me3	10442	10287	10361	8889	8922	8808
H4K20me3 / Med12	4846	4830	4857	4267	4387	4367
H4K20me3 / Oct4	14786	14645	14765	13178	13283	13296
H4K20me3 / RNAPII-S2p	13486	13300	13659	12114	12268	12292
H4K20me3 / RNAPII-S5p	25636	25191	25547	22417	22237	22452
H4K20me3 / RNAPII-S7p	21750	21547	21875	19275	19374	19464
H4K20me3 / Sox2	10780	10798	10805	9540	9672	9648
H4K20me3 / Tcf3	4220	4219	4325	3710	3853	3777
H4K20me3 / H4K20me3	6043	5883	6003	5014	5064	5045
CTCF / Enhancer	61810	61893	61482	55994	55721	56182
CTCF / H3K27me3	27688	27876	27418	24793	24670	24954
CTCF / H3K9me3	31983	31685	31691	28340	28133	28276
CTCF / Med12	15747	15875	15729	14114	14256	14322
CTCF / Oct4	46614	46718	46484	42074	41903	42374
CTCF / RNAPII-S2p	46074	45858	45876	41699	41336	41794
CTCF / RNAPII-S5p	73834	73927	73851	66530	65931	66769
CTCF / RNAPII-S7p	65757	65970	65737	59367	58985	59722
CTCF / Sox2	33647	33729	33624	30533	30250	30623
CTCF / Tcf3	13565	13699	13662	12293	12444	12484
CTCF / H4K20me3	26717	26352	26518	23474	23553	23694
CTCF / CTCF	52581	52368	52380	47363	47000	47339
Nanog / Enhancer	24154	24069	24115	21933	21753	21949
Nanog / H3K27me3	10435	10664	10395	9464	9278	9449
Nanog / H3K9me3	12974	13128	13095	11701	11665	11708
Nanog / Med12	5735	5836	5789	5275	5295	5237
Nanog / Oct4	15899	16200	16169	14514	14408	14646
Nanog / RNAPII-S2p	18381	18328	18419	16698	16718	16697
Nanog / RNAPII-S5p	31930	31948	32074	28827	28606	29001
Nanog / RNAPII-S7p	27843	27949	28007	25276	25299	25304
Nanog / Sox2	11113	11204	11307	10172	10064	10251
Nanog / Tcf3	4866	4894	4973	4435	4498	4490
Nanog / H4K20me3	11290	11310	11272	10038	10133	10114
Nanog / CTCF	35336	35684	35476	31925	31778	32316
Nanog / Nanog	7525	7399	7599	6750	6830	6945
p300 / Enhancer	29665	29708	29778	26606	26816	26953
p300 / H3K27me3	13262	13466	13250	12026	12030	12147
p300 / H3K9me3	15468	15652	15562	13951	13873	13971
p300 / Med12	7087	7161	7262	6500	6588	6589
p300 / Oct4	20577	20647	20675	18674	18605	18717
p300 / RNAPII-S2p	23258	23075	23060	20872	20982	21127
p300 / RNAPII-S5p	37639	37686	37761	33839	33864	34244
p300 / RNAPII-S7p	33206	33332	33157	29951	30031	30167
p300 / Sox2	14788	14916	15021	13533	13441	13351
p300 / Tcf3	6238	6324	6381	5734	5800	5783
p300 / H4K20me3	13110	13043	13155	11696	11766	11833
p300 / CTCF	42908	43188	43053	38757	38710	39254
p300 / Nanog	15608	15717	15943	14238	14089	14231
p300 / p300	11603	11595	11728	10490	10460	10456
